logFC,logCPM,F,PValue,FDR,ID,seqnames,start,end,width,strand,source,X3_h3k27ac_bowtie2_hg19_sort.bam,X4_h3k27ac_bowtie2_hg19_sort.bam,X5_h3k27ac_bowtie2_hg19_sort.bam,X6_h3k27ac_bowtie2_hg19_sort.bam,X3_2percent_input_bowtie2_hg19_sort.bam,X4_2percent_input_bowtie2_hg19_sort.bam,X5_2percent_input_bowtie2_hg19_sort.bam,X6_2percent_input_bowtie2_hg19_sort.bam,X3_h3k27ac_bowtie2_hg19_sort.bam.cpm,X4_h3k27ac_bowtie2_hg19_sort.bam.cpm,X5_h3k27ac_bowtie2_hg19_sort.bam.cpm,X6_h3k27ac_bowtie2_hg19_sort.bam.cpm,X3_2percent_input_bowtie2_hg19_sort.bam.cpm,X4_2percent_input_bowtie2_hg19_sort.bam.cpm,X5_2percent_input_bowtie2_hg19_sort.bam.cpm,X6_2percent_input_bowtie2_hg19_sort.bam.cpm
-3.57405305118911,10.8128906685945,260.388806472528,1.43830840010008e-06,0.000719458840621598,SE_domain_130,chr2,197977750,198173020,195271,*,UPPP,10032,11280,531,3785,3656,4494,2867,3492,3478.91947681442,4085.6096515527,249.841399096807,276.087216111316,1731.11354203871,1712.8112624773,1507.31668046006,1346.96659762611
-4.1359080264268,9.39548745453416,247.214216441721,1.70187091460546e-06,0.000719458840621598,SE_domain_107,chr2,158259400,158330301,70902,*,UPPP,3694,4669,153,891,1369,1602,1025,1241,1281.01361117947,1691.1091722606,71.9881997397579,64.9917330396782,648.220579609134,610.574909321015,538.890686247492,478.690019373997
-3.34271057275246,8.92756435060608,236.852592474543,1.95489400747976e-06,0.000719458840621598,SE_domain_1513,chr4,90176700,90240001,63302,*,UPPP,2351,2486,151,943,1189,1451,958,1086,815.285056817254,900.427800865249,71.0471775209375,68.7847410285259,562.990700624734,553.023841089134,503.66563651229,418.901983110524
-3.61683513533857,8.05656398579665,231.362756295567,2.10895332257329e-06,0.000719458840621598,SE_domain_758,chr5,88108850,88143901,35052,*,UPPP,1389,1240,66,412,700,783,445,707,481.680537609173,449.127302121041,31.053733221072,30.0522940654853,331.449529383779,298.427062420946,233.957419883057,272.710591214678
-3.39636413854398,10.0461813051032,227.442734331253,2.22874552821476e-06,0.000719458840621598,SE_domain_917,chr3,186698200,186801551,103352,*,UPPP,4725,5392,553,3488,1896,2195,2324,3615,1638.54610525799,1952.97936535214,260.192643503831,254.423305098089,897.754725302351,836.586720324362,1221.83605350163,1394.41129737067
-3.08055698107709,8.84866819454082,207.231736172501,3.00982738307497e-06,0.000719458840621598,SE_domain_1598,chr20,1606300,1668101,61802,*,UPPP,1723,1844,194,1074,1116,1388,1095,1606,597.505807271854,667.895762186452,91.2791552255754,78.3402034619691,528.425249703283,529.012468250667,575.692977015613,619.48120154282
-3.43239321442921,9.36804361941982,204.680253698998,3.13247328094173e-06,0.000719458840621598,SE_domain_383,chr1,66792500,66869601,77102,*,UPPP,3440,3759,232,1174,1502,1790,1091,1473,1192.93092107671,1361.5076844137,109.158577383162,85.6344495943684,711.195990192052,682.227894934218,573.58998897172,568.179209136098
-4.36724367723171,8.02152116507776,195.703626762354,3.61934434949944e-06,0.000719458840621598,SE_domain_885,chr3,113930350,113953924,23575,*,UPPP,1160,1631,75,478,438,538,555,803,402.267403618892,590.747282064047,35.2883332057637,34.8664965128689,207.392705528708,205.049501382463,291.789591090105,309.74060077141
-3.47686987359063,8.82782975537187,194.825625925105,3.67211366548647e-06,0.000719458840621598,SE_domain_811,chr5,169679850,169741801,61952,*,UPPP,2023,2299,161,818,1055,1297,901,1288,701.540480621567,832.696506109898,75.7522886150393,59.6669333630267,499.541790714125,494.32937415066,473.698056886819,496.819294886147
-4.1233123448346,8.65406942584269,191.413422742284,3.88696300433068e-06,0.000719458840621598,SE_domain_95,chr2,136864650,136900451,35802,*,UPPP,2548,3029,103,691,676,758,581,585,883.601158983566,1097.1020952618,48.4626442692488,50.4032407748795,320.085545519193,288.898739865998,305.459013375407,225.651620736332
-5.10292477509578,7.93471698595725,184.171554680447,4.40014622026636e-06,0.000719458840621598,SE_domain_1292,chr7,142490650,142512201,21552,*,UPPP,1739,2274,26,111,385,427,154,208,603.054323183839,823.641520180038,12.2332888446647,8.09661320696328,182.297241161079,162.743749238498,80.965039689867,80.2316873729181
-2.84814367421004,9.00388218134551,183.14819044364,4.47963693004555e-06,0.000719458840621598,SE_domain_1516,chr4,102714263,102786801,72539,*,UPPP,2049,2354,192,1305,1352,1653,1062,1371,710.556818978543,852.617475155589,90.338133006755,95.1899120278116,640.171091038385,630.012687333107,558.343325653498,528.834823982071
-3.58070027667784,8.44011959974097,178.979088370323,4.82349390140743e-06,0.000719458840621598,SE_domain_67,chr2,89125900,89169501,43602,*,UPPP,2030,1943,146,742,682,757,656,751,703.967956333061,703.753506468696,68.6946219738866,54.1233063024032,322.926541485339,288.517606963801,344.890039198395,289.68267892818
-3.19181944363373,8.78079183570792,177.763190986611,4.93021231948232e-06,0.000719458840621598,SE_domain_1357,chr17,47790450,47839017,48568,*,UPPP,2216,2263,228,1182,866,1083,804,1269,768.469453809883,819.6573263709,107.276532945522,86.2179892849604,410.050417780504,412.766933080312,422.700596822423,489.490438828044
-4.14078672283731,8.99542971224913,165.35247575068,6.21783377123503e-06,0.00077804811904539,SE_domain_364,chr1,40842804,40873801,30998,*,UPPP,3205,4793,174,1070,580,692,520,673,1111.43709361944,1736.0219024727,81.8689330373717,78.0484336166731,274.629610060846,263.743968320938,273.388445706044,259.595796163336
-3.25029726697328,8.77365712284573,164.501165437946,6.32145686745483e-06,0.00077804811904539,SE_domain_1077,chr9,112858550,112914801,56252,*,UPPP,1912,1797,182,1061,937,1273,900,1610,663.047651482173,650.872388638315,85.6330219126532,77.3919514647571,443.668870046573,485.18218449791,473.172309875846,621.024118607684
-4.71826047654484,7.14927600385394,160.291795435332,6.8682391640051e-06,0.00077804811904539,SE_domain_121,chr2,182168650,182180101,11452,*,UPPP,1083,1006,26,143,219,267,167,198,375.565170792465,364.372633817554,12.2332888446647,10.4307719693311,103.696352764354,101.762484886836,87.7997508325181,76.3743947107586
-3.15732018096079,9.12352958041136,158.655989446047,7.09730213710943e-06,0.00077804811904539,SE_domain_883,chr3,112174900,112238201,63302,*,UPPP,1936,2334,271,1596,1209,1411,1382,2240,671.370425350151,845.373486411702,127.508510650159,116.416168273094,572.460687178556,537.778525001219,726.58236916491,864.033556323734
-4.29311292574111,7.42599595826349,151.173517822307,8.28182156056841e-06,0.00077804811904539,SE_domain_759,chr5,88168400,88186851,18452,*,UPPP,996,1101,29,218,372,418,225,378,345.395115521049,398.781580351021,13.6448221728953,15.9014565686306,176.141749901094,159.313553118717,118.293077468962,145.80566262963
