"pathway","pval","padj","log2err","ES","NES","size","adjPvalue"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.97206981541213e-23,1.48603490770606e-21,1.24623277191648,0.548575440148805,2.9162463731102,199,"significant"
"HALLMARK_P53_PATHWAY",4.88588884745511e-13,1.22147221186378e-11,0.921426003494898,0.444448239293636,2.31519683559711,195,"significant"
"HALLMARK_PROTEIN_SECRETION",2.44856917619551e-10,4.08094862699251e-09,0.814035837847908,0.540234420008172,2.53999927265551,95,"significant"
"HALLMARK_G2M_CHECKPOINT",5.88872162938642e-10,7.36090203673303e-09,0.801215574617779,-0.510661237741175,-1.98527771323795,197,"significant"
"HALLMARK_MITOTIC_SPINDLE",1.33309596078347e-08,1.33309596078347e-07,0.747739663149885,-0.489119996026276,-1.90313670723248,195,"significant"
"HALLMARK_E2F_TARGETS",2.54471801449733e-08,1.947880194741e-07,0.73376198835648,-0.484942214496329,-1.88762801977857,200,"significant"
"HALLMARK_MYC_TARGETS_V1",2.7270322726374e-08,1.947880194741e-07,0.73376198835648,0.369252543183965,1.96295953302221,199,"significant"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",3.8308730837401e-06,2.39429567733756e-05,0.610526878385931,0.40173046774131,1.89905335137809,111,"significant"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000340941095464416,0.00189411719702453,0.49849310876659,0.481469042791072,1.95180414324606,47,"significant"
"HALLMARK_HEDGEHOG_SIGNALING",0.000481847125200749,0.00240923562600374,0.49849310876659,-0.594166853523087,-1.86165878778968,35,"significant"
"HALLMARK_MTORC1_SIGNALING",0.000934031382657406,0.0042455971938973,0.477270815362862,0.28040855551462,1.49066176347005,199,"significant"
"HALLMARK_HEME_METABOLISM",0.00149305089155911,0.00574250342907352,0.45505986738723,0.279047774974975,1.4338323187313,186,"significant"
"HALLMARK_HYPOXIA",0.00148207753722822,0.00574250342907352,0.45505986738723,0.287310260766698,1.52147849015439,197,"significant"
"HALLMARK_DNA_REPAIR",0.00314087795766488,0.0104695931922163,0.431707695803346,0.291242204947079,1.4349427876008,149,"significant"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0030305356868933,0.0104695931922163,0.431707695803346,-0.440648883649379,-1.60685238094109,93,"significant"
"HALLMARK_UV_RESPONSE_UP",0.00353668844798629,0.0110521513999571,0.431707695803346,0.285558355428801,1.41668664898763,153,"significant"
"HALLMARK_BILE_ACID_METABOLISM",0.00489258683757358,0.01359051899326,0.407017918923954,0.312491681066126,1.46217476187739,101,"significant"
"HALLMARK_MYOGENESIS",0.00471067808423346,0.01359051899326,0.407017918923954,-0.373515736748427,-1.44225088895136,179,"significant"
"HALLMARK_ANGIOGENESIS",0.00665807269594411,0.0169820058485326,0.407017918923954,-0.543357799171592,-1.67178294131949,31,"significant"
"HALLMARK_SPERMATOGENESIS",0.00679280233941302,0.0169820058485326,0.407017918923954,-0.401687726966764,-1.4953611231458,113,"significant"
"HALLMARK_APICAL_JUNCTION",0.00749016957429995,0.0178337370816666,0.407017918923954,-0.369541018761331,-1.43554619847722,191,"significant"
"HALLMARK_APICAL_SURFACE",0.00986740892735906,0.0224259293803615,0.380730400722792,-0.501904690746114,-1.62485759279195,42,"significant"
"HALLMARK_APOPTOSIS",0.0158163093521573,0.034383281200342,0.352487857583619,0.259638995870088,1.28809783364024,153,"significant"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0209164268659758,0.0435758893041162,0.352487857583619,-0.359458205140866,-1.38853608162505,181,"significant"
"HALLMARK_PANCREAS_BETA_CELLS",0.0253480263815574,0.0506960527631148,0.352487857583619,-0.512696925857969,-1.58215795837383,32,"non-significant"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0345549738219895,0.0664518727345952,0.248911114434702,-0.350811495127664,-1.35238642821014,168,"non-significant"
"HALLMARK_GLYCOLYSIS",0.0419447180170977,0.0776754037353662,0.321775918075361,0.240618401258913,1.27691683619497,198,"non-significant"
"HALLMARK_PEROXISOME",0.0448705390691865,0.0801259626235474,0.321775918075361,0.287267714204623,1.34450021423111,99,"non-significant"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.059748427672956,0.103014530470614,0.186432558434075,-0.333106100299469,-1.28557652637417,180,"non-significant"
"HALLMARK_ADIPOGENESIS",0.0755323146908564,0.118019241704463,0.287805130535564,0.229437680927735,1.19348249106002,194,"non-significant"
"HALLMARK_ANDROGEN_RESPONSE",0.0741242368675927,0.118019241704463,0.287805130535564,0.256720994229519,1.20702644839163,98,"non-significant"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0727783931803476,0.118019241704463,0.287805130535564,0.231261546553972,1.20031379120294,191,"non-significant"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0835347082581689,0.126567739785104,0.287805130535564,0.224123554368381,1.15790933610221,184,"non-significant"
"HALLMARK_KRAS_SIGNALING_DN",0.131027253668763,0.192687137748181,0.120985142145252,-0.314581405263696,-1.21203852670435,165,"non-significant"
"HALLMARK_ALLOGRAFT_REJECTION",0.144654088050314,0.197498634366925,0.114266502484433,-0.311057122839759,-1.19845995529064,165,"non-significant"
